year,stname,numbirth1544
2004,AK,10305
2005,AK,10427
2006,AK,10966
2007,AK,11022
2008,AK,11419
2015,AK,11263
2016,AK,11182
2017,AK,10418
2018,AK,10072
2019,AK,9801
2004,AL,59306
2005,AL,60258
2006,AL,63017
2007,AL,64631
2008,AL,64348
2015,AL,59551
2016,AL,59064
2017,AL,58843
2018,AL,57658
2019,AL,58502
2004,AR,38443
2005,AR,39083
2006,AR,40841
2007,AR,41238
2008,AR,40562
2015,AR,38805
2016,AR,38195
2017,AR,37442
2018,AR,36959
2019,AR,36511
2004,AZ,93376
2005,AZ,95906
2006,AZ,102148
2007,AZ,102660
2008,AZ,99155
2015,AZ,85169
2016,AZ,84316
2017,AZ,81658
2018,AZ,80517
2019,AZ,79183
2004,CA,542964
2005,CA,546709
2006,CA,560331
2007,CA,564307
2008,CA,549536
2015,CA,489673
2016,CA,486696
2017,CA,469506
2018,CA,452683
2019,CA,444185
2004,CO,68290
2005,CO,68756
2006,CO,70529
2007,CO,70574
2008,CO,69833
2015,CO,66412
2016,CO,66440
2017,CO,64213
2018,CO,62719
2019,CO,62695
2004,CT,41949
2005,CT,41566
2006,CT,41650
2007,CT,41501
2008,CT,40281
2015,CT,35609
2016,CT,35865
2017,CT,35079
2018,CT,34606
2019,CT,34130
2004,DC,7882
2005,DC,7932
2006,DC,8476
2007,DC,8817
2008,DC,9059
2015,DC,9525
2016,DC,9795
2017,DC,9513
2018,DC,9147
2019,DC,9017
2004,DE,11333
2005,DE,11607
2006,DE,11948
2007,DE,12142
2008,DE,12049
2015,DE,11127
2016,DE,10947
2017,DE,10825
2018,DE,10592
2019,DE,10517
2004,FL,217321
2005,FL,225447
2006,FL,236079
2007,FL,238394
2008,FL,230640
2015,FL,223600
2016,FL,224375
2017,FL,222982
2018,FL,220874
2019,FL,219297
2004,GA,138401
2005,GA,141716
2006,GA,148151
2007,GA,150620
2008,GA,146139
2015,GA,131038
2016,GA,129678
2017,GA,128887
2018,GA,125822
2019,GA,126000
2004,HI,18225
2005,HI,17870
2006,HI,18928
2007,HI,19068
2008,HI,19424
2015,HI,18346
2016,HI,17998
2017,HI,17435
2018,HI,16901
2019,HI,16736
2004,IA,38376
2005,IA,39242
2006,IA,40539
2007,IA,40804
2008,IA,40131
2015,IA,39408
2016,IA,39353
2017,IA,38370
2018,IA,37733
2019,IA,37597
2004,ID,22486
2005,ID,23014
2006,ID,24143
2007,ID,24979
2008,ID,25090
2015,ID,22782
2016,ID,22442
2017,ID,22133
2018,ID,21369
2019,ID,22018
2004,IL,180180
2005,IL,178437
2006,IL,179980
2007,IL,180272
2008,IL,176192
2015,IL,157655
2016,IL,154018
2017,IL,148971
2018,IL,144405
2019,IL,139682
2004,IN,86960
2005,IN,87002
2006,IN,88437
2007,IN,89687
2008,IN,88545
2015,IN,83865
2016,IN,82951
2017,IN,82007
2018,IN,81493
2019,IN,80723
2004,KS,39576
2005,KS,39801
2006,KS,40860
2007,KS,41906
2008,KS,41739
2015,KS,39100
2016,KS,37999
2017,KS,36462
2018,KS,36206
2019,KS,35332
2004,KY,55587
2005,KY,56315
2006,KY,58113
2007,KY,59219
2008,KY,58225
2015,KY,55870
2016,KY,55346
2017,KY,54668
2018,KY,53837
2019,KY,52973
2004,LA,65131
2005,LA,60715
2006,LA,63144
2007,LA,66096
2008,LA,65088
2015,LA,64550
2016,LA,63019
2017,LA,60892
2018,LA,59510
2019,LA,58839
2004,MA,78261
2005,MA,76619
2006,MA,77406
2007,MA,77682
2008,MA,76741
2015,MA,71219
2016,MA,71042
2017,MA,70444
2018,MA,68876
2019,MA,68861
2004,MD,74362
2005,MD,74685
2006,MD,77196
2007,MD,77806
2008,MD,76982
2015,MD,73333
2016,MD,72861
2017,MD,71368
2018,MD,70771
2019,MD,69890
2004,ME,13919
2005,ME,14075
2006,ME,14126
2007,ME,14087
2008,ME,13588
2015,ME,12584
2016,ME,12678
2017,ME,12279
2018,ME,12290
2019,ME,11756
2004,MI,129390
2005,MI,127329
2006,MI,127150
2007,MI,124902
2008,MI,120793
2015,MI,113062
2016,MI,113072
2017,MI,111151
2018,MI,109810
2019,MI,107655
2004,MN,70441
2005,MN,70754
2006,MN,73316
2007,MN,73544
2008,MN,72205
2015,MN,69650
2016,MN,69579
2017,MN,68428
2018,MN,67152
2019,MN,65845
2004,MO,77537
2005,MO,78431
2006,MO,81191
2007,MO,81739
2008,MO,80789
2015,MO,74934
2016,MO,74588
2017,MO,72928
2018,MO,73150
2019,MO,72002
2004,MS,42621
2005,MS,42192
2006,MS,45847
2007,MS,46298
2008,MS,44781
2015,MS,38291
2016,MS,37852
2017,MS,37285
2018,MS,36924
2019,MS,36571
2004,MT,11496
2005,MT,11550
2006,MT,12471
2007,MT,12416
2008,MT,12566
2015,MT,12559
2016,MT,12256
2017,MT,11768
2018,MT,11495
2019,MT,11052
2004,NC,119453
2005,NC,122706
2006,NC,127481
2007,NC,130650
2008,NC,130448
2015,NC,120532
2016,NC,120503
2017,NC,119826
2018,NC,118663
2019,NC,118465
2004,ND,8166
2005,ND,8378
2006,ND,8607
2007,ND,8827
2008,ND,8922
2015,ND,11306
2016,ND,11364
2017,ND,10724
2018,ND,10619
2019,ND,10442
2004,NE,26283
2005,NE,26087
2006,NE,26665
2007,NE,26886
2008,NE,26935
2015,NE,26638
2016,NE,26543
2017,NE,25775
2018,NE,25446
2019,NE,24692
2004,NH,14542
2005,NH,14384
2006,NH,14340
2007,NH,14118
2008,NH,13648
2015,NH,12408
2016,NH,12246
2017,NH,12090
2018,NH,11961
2019,NH,11808
2004,NJ,114856
2005,NJ,113417
2006,NJ,114614
2007,NJ,115567
2008,NJ,112350
2015,NJ,102754
2016,NJ,102216
2017,NJ,100820
2018,NJ,100796
2019,NJ,99178
2004,NM,28291
2005,NM,28701
2006,NM,29827
2007,NM,30492
2008,NM,30059
2015,NM,25766
2016,NM,24641
2017,NM,23712
2018,NM,22991
2019,NM,22903
2004,NV,35090
2005,NV,37152
2006,NV,39901
2007,NV,41056
2008,NV,39373
2015,NV,36194
2016,NV,36178
2017,NV,35644
2018,NV,35567
2019,NV,34949
2004,NY,249028
2005,NY,245411
2006,NY,249163
2007,NY,252450
2008,NY,249314
2015,NY,236223
2016,NY,233232
2017,NY,228640
2018,NY,225119
2019,NY,220436
2004,OH,148558
2005,OH,148005
2006,OH,150193
2007,OH,150447
2008,OH,148462
2015,OH,138957
2016,OH,137808
2017,OH,136573
2018,OH,134840
2019,OH,134206
2004,OK,51168
2005,OK,51655
2006,OK,53878
2007,OK,54924
2008,OK,54654
2015,OK,53023
2016,OK,52488
2017,OK,50110
2018,OK,49727
2019,OK,49074
2004,OR,45537
2005,OR,45793
2006,OR,48550
2007,OR,49227
2008,OR,48985
2015,OR,45539
2016,OR,45434
2017,OR,43517
2018,OR,42091
2019,OR,41749
2004,PA,144352
2005,PA,144926
2006,PA,148655
2007,PA,150308
2008,PA,148863
2015,PA,140695
2016,PA,139063
2017,PA,137399
2018,PA,135334
2019,PA,133898
2004,RI,12729
2005,RI,12643
2006,RI,12348
2007,RI,12339
2008,RI,12009
2015,RI,10960
2016,RI,10773
2017,RI,10605
2018,RI,10489
2019,RI,10143
2004,SC,56420
2005,SC,57532
2006,SC,61969
2007,SC,62702
2008,SC,62894
2015,SC,57986
2016,SC,57212
2017,SC,56923
2018,SC,56544
2019,SC,56920
2004,SD,11319
2005,SD,11440
2006,SD,11892
2007,SD,12238
2008,SD,12047
2015,SD,12312
2016,SD,12255
2017,SD,12113
2018,SD,11871
2019,SD,11431
2004,TN,79387
2005,TN,81503
2006,TN,84118
2007,TN,86484
2008,TN,85339
2015,TN,81524
2016,TN,80632
2017,TN,80822
2018,TN,80570
2019,TN,80273
2004,TX,379959
2005,TX,384633
2006,TX,398237
2007,TX,406297
2008,TX,404229
2015,TX,402494
2016,TX,396955
2017,TX,381087
2018,TX,377574
2019,TX,376581
2004,UT,50599
2005,UT,51468
2006,UT,53437
2007,UT,55048
2008,UT,55546
2015,UT,50702
2016,UT,50374
2017,UT,48504
2018,UT,47132
2019,UT,46745
2004,VA,103610
2005,VA,104220
2006,VA,107484
2007,VA,108567
2008,VA,106359
2015,VA,102998
2016,VA,102133
2017,VA,100087
2018,VA,99506
2019,VA,97120
2004,VT,6577
2005,VT,6279
2006,VT,6502
2007,VT,6501
2008,VT,6325
2015,VT,5889
2016,VT,5744
2017,VT,5642
2018,VT,5419
2019,VT,5340
2004,WA,81498
2005,WA,82474
2006,WA,86634
2007,WA,88706
2008,WA,90046
2015,WA,88749
2016,WA,90245
2017,WA,87298
2018,WA,85822
2019,WA,84611
2004,WI,69979
2005,WI,70823
2006,WI,72155
2007,WI,72608
2008,WI,72082
2015,WI,66910
2016,WI,66519
2017,WI,64863
2018,WI,63990
2019,WI,63151
2004,WV,20835
2005,WV,20799
2006,WV,20896
2007,WV,21950
2008,WV,21459
2015,WV,19786
2016,WV,19046
2017,WV,18639
2018,WV,18210
2019,WV,18109
2004,WY,6795
2005,WY,7224
2006,WY,7656
2007,WY,7882
2008,WY,8032
2015,WY,7747
2016,WY,7368
2017,WY,6892
2018,WY,6549
2019,WY,6550
